stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,valid_answers,fallback_only,numeric_model_estimate,not_started,in_progress,empty_observations,empty_fraction,deterministic_draw_sources,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE,delta_AE2_vs_median,delta_AE2_vs_median_MCSE,shrink_plugin_AE2,shrink_plugin_AE2_MCSE,shrink_median_AE2,shrink_median_AE2_MCSE,signed_rho2,signed_rho2_MCSE,baseline_AE2,baseline_AE2_MCSE,plugin_AE2,plugin_AE2_MCSE,extratrees_pooled_AE2,extratrees_pooled_AE2_MCSE,median_AE2,median_AE2_MCSE,AE2_MCSE_model_repeats,AE2_MCSE_sampler,AE2_between_source_SE,ProfileAE_MCSE_model_repeats,ProfileAE_MCSE_sampler,ProfileAE_between_source_SE,delta_AE2_MCSE_model_repeats,delta_AE2_MCSE_sampler,delta_AE2_between_source_SE,delta_ProfileAE_MCSE_model_repeats,delta_ProfileAE_MCSE_sampler,delta_ProfileAE_between_source_SE,delta_AE2_vs_plugin_MCSE_model_repeats,delta_AE2_vs_plugin_MCSE_sampler,delta_AE2_vs_plugin_between_source_SE,delta_AE2_vs_extratrees_MCSE_model_repeats,delta_AE2_vs_extratrees_MCSE_sampler,delta_AE2_vs_extratrees_between_source_SE,delta_AE2_vs_median_MCSE_model_repeats,delta_AE2_vs_median_MCSE_sampler,delta_AE2_vs_median_between_source_SE,shrink_plugin_AE2_MCSE_model_repeats,shrink_plugin_AE2_MCSE_sampler,shrink_plugin_AE2_between_source_SE,shrink_median_AE2_MCSE_model_repeats,shrink_median_AE2_MCSE_sampler,shrink_median_AE2_between_source_SE,signed_rho2_MCSE_model_repeats,signed_rho2_MCSE_sampler,signed_rho2_between_source_SE,baseline_AE2_MCSE_model_repeats,baseline_AE2_MCSE_sampler,baseline_AE2_between_source_SE,plugin_AE2_MCSE_model_repeats,plugin_AE2_MCSE_sampler,plugin_AE2_between_source_SE,extratrees_pooled_AE2_MCSE_model_repeats,extratrees_pooled_AE2_MCSE_sampler,extratrees_pooled_AE2_between_source_SE,median_AE2_MCSE_model_repeats,median_AE2_MCSE_sampler,median_AE2_between_source_SE,valid_rho2_below_lower_share,valid_rho2_at_lower_plugin_share,valid_rho2_inside_share,valid_rho2_at_upper_share,valid_rho2_above_upper_share
real,R,sol,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,R,deepseek,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.019860158238776977,0.003819605071758623,0.01395475624311811,0.001675141089098559,0.00013840315205091808,0.0003704186781084099,0.0015336771132445023,0.00077725813300047,0.00013840315205091808,0.0003704186781084099,-0.0064895475879725726,0.0033384970683214056,-0.20898856983563507,0.003819605071758623,0.019703849566217357,0.003819681038411335,0.11401144632752812,0.003237528829700708,-0.001522093843853763,0.006475057659401417,0.01972175508672606,0.003828240605221928,0.01972175508672606,0.003828240605221928,0.02634970582674955,0.002252555375285281,0.22884872807441203,2.3129646346357427e-18,0.000368646432817541,0.003801773627108155,0.008233287658805077,0.000736922226798156,0.0015043414838517063,0.005220274310416511,0.000368646432817541,3.625039098786741e-05,0.0003911072402910957,0.0007369222267981562,0.00024905077183652407,0.000998253446614503,0.000368646432817541,3.625039098786741e-05,0.0003911072402910957,0.000368646432817541,0.0033180811446921438,0.008292084433767841,0.0003686464328175409,0.0038017736271081554,0.037282614171525945,0.00011570463522815182,0.003817928191124843,0.008259702611571768,0.00026407852322764475,0.003226740686313845,0.015181847900121332,0.0005281570464552883,0.0064534813726276905,0.0036434470668474557,0.0,0.003828240605221928,0.008256509301033482,0.0,0.003828240605221928,0.008256509301033482,3.271025955591198e-19,0.002252555375285281,0.0078093296582085504,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,R,qwen_nonthinking,False,0.9555555555555556,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,90,86,False,True,0,0,0,0.0,[],True,0.019789414691964612,0.0037924269321000983,0.012787499258589243,0.0013665192333877846,6.765960523855434e-05,6.736284275854871e-05,0.0003664201287156361,0.00022081980656991418,6.765960523855434e-05,6.736284275854871e-05,-0.006560291134784936,0.00330344354810898,-0.20905931338244743,0.0037924269321000983,0.01962481547744607,0.0038800121387129252,0.11383503983862177,0.0032125664863029767,-0.0021888360371129204,0.006425132972605953,0.01972175508672606,0.003828240605221928,0.01972175508672606,0.003828240605221928,0.02634970582674955,0.002252555375285281,0.22884872807441203,2.3129646346357427e-18,6.730925141722087e-05,0.0037918295715909777,0.008322944062179503,0.00021545853556020924,0.0013494267059284799,0.005378015995471319,6.730925141722087e-05,3.6376182480738386e-06,6.785619763594747e-05,0.00021545853556020924,7.48598075786088e-05,0.0002832884959583125,6.730925141722087e-05,3.6376182480738386e-06,6.785619763594747e-05,6.730925141722087e-05,0.00330275774773393,0.008430975742197668,6.730925141722087e-05,0.0037918295715909777,0.03750535996981269,9.712600063970001e-05,0.0038787962999569056,0.008161349037022972,0.00016443657032213328,0.0032083553486572758,0.015000921627540647,0.0003288731406442662,0.0064167106973145515,0.004034187382781624,0.0,0.003828240605221928,0.008256509301033482,0.0,0.003828240605221928,0.008256509301033482,3.271025955591198e-19,0.002252555375285281,0.0078093296582085504,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,S,sol,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,S,deepseek,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.13843453865591734,0.0181082816625334,0.09177296109755834,0.015268252776085173,0.04124697639891539,0.010711730436884693,0.048080229103714046,0.012462764469066355,-0.1838047139170864,0.014287572476655186,0.07923481257502828,0.01611100853928073,-0.0904141894184947,0.0181082816625334,0.20230007659208563,0.017463230700958367,0.1259472537039866,0.006267674546993263,0.07582339415269329,0.02873695499041717,0.09718756225700194,0.013990994964522718,0.32223925257300373,0.010621630609556053,0.05919972608088908,0.006695715959524107,0.22884872807441203,2.3129646346357427e-18,0.010676822037544635,0.014821582405188041,0.04321591598683691,0.011386683725555359,0.010653119365136429,0.02839962215425962,0.010676822037544635,0.005965432472072312,0.011219424953911164,0.011386683725555359,0.006316773085636255,0.01454075754151029,0.010676822037544631,0.009907309989434997,0.05338403499004178,0.010676822037544635,0.012411833244632764,0.03805380674442445,0.010676822037544635,0.014821582405188041,0.07110005706661925,0.0075516357911290235,0.01575969341093645,0.03581197177625126,0.004774746732576217,0.0045540503191058195,0.017712933752470645,0.015964855119142085,0.02390275379174432,0.021681429562102027,0.0,0.013990994964522718,0.04395092314748458,4.762685681478548e-18,0.010621630609556053,0.054795461480538994,9.536597496921328e-19,0.006695715959524107,0.01718722092516552,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,S,qwen_nonthinking,False,0.9444444444444444,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,90,85,False,True,0,0,0,0.0,[],True,0.16257560651512576,0.01835945778533678,0.11670762723674073,0.015955886875048005,0.06538804425812379,0.019213709703626174,0.07301489524289646,0.01610244739628493,-0.15966364605787797,0.016147235228161066,0.10337588043423666,0.019607473446162735,-0.06627312155928632,0.01835945778533678,0.2127814669378909,0.015089741086628458,0.12850186709809366,0.0069248513963609355,0.1022970132171811,0.024498199756289588,0.09718756225700194,0.013990994964522718,0.32223925257300373,0.010621630609556053,0.05919972608088908,0.006695715959524107,0.22884872807441203,2.3129646346357427e-18,0.012857681293727294,0.014976210268986224,0.036079049240707976,0.01280638397718177,0.012271787865060316,0.031067644976574514,0.012857681293727294,0.016362772734387198,0.02602326028368513,0.01280638397718177,0.01262173401047658,0.02169319894052999,0.01285768129372729,0.01212984971892239,0.038305491045204317,0.012857681293727294,0.016454244995325395,0.03762163187902603,0.012857681293727294,0.014976210268986224,0.06531394117799784,0.009932259721232317,0.011639530210549151,0.03483271753359557,0.006105292995247535,0.004218106375647014,0.018138154145427302,0.019952145037585273,0.015046435691450361,0.02094917689612407,0.0,0.013990994964522718,0.04395092314748458,4.762685681478548e-18,0.010621630609556053,0.054795461480538994,9.536597496921328e-19,0.006695715959524107,0.01718722092516552,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,H,sol,False,,,,,,,0,0,False,False,78,0,0,0.0,"[""sp_highschool2013""]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,H,deepseek,False,,,,,,,0,0,False,False,78,0,0,0.0,"[""sp_highschool2013""]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
