stratum_group,arm,method,budget_fraction,graphs,AE2,AE2_between_graph_se,signed_2,signed_2_between_graph_se,ProfileAE,ProfileAE_between_graph_se,dyad_coverage,dyad_coverage_between_graph_se,window_coverage,window_coverage_between_graph_se,event_coverage,event_coverage_between_graph_se
real,B,mixture,0.02,6,0.09167160501912515,0.029461690689292,-0.02228806123624424,0.04948208332583753,0.04855750612884662,0.013339105493135075,0.1650064676269333,0.036217900669854544,0.1309128150823312,0.027154074610030877,0.020009583660086767,3.6267512841399844e-05
real,B,mixture,0.05,6,0.07541892989448098,0.024396164183281003,-0.025374795220361807,0.03933964216588629,0.04183099548670297,0.012208425420988465,0.2783435486157871,0.050836184777562694,0.2387160638475323,0.04172177318822632,0.050072915934148275,4.900262185302398e-05
real,B,mixture,0.1,6,0.06262970449234173,0.017667924890280563,-0.016142080722914266,0.030407609428798575,0.038329544313996954,0.010678164051263036,0.3955510331760168,0.05844444238046723,0.35432468005669704,0.04994262999871702,0.099926181606662,8.726982038196856e-05
real,B,mixture,0.2,6,0.04366896373195111,0.01442230107679483,-0.020635833661193908,0.021557712512396514,0.026576178052453544,0.00803185775452803,0.5429549519277875,0.05801219731211221,0.5041011722730108,0.05076116294700046,0.19993794671798734,5.084715358224224e-05
real,B,mixture,0.3,6,0.03450451445561798,0.009531714000493257,-0.009984086540006503,0.01576236273691676,0.022263842886344972,0.005954467443226812,0.6441897313571211,0.0519161794735033,0.6102641650116777,0.04624669667487419,0.29985046031173307,0.0001789706179199798
real,B,plugin,0.02,6,0.15033865930651844,0.027615088089820772,-0.15033865930651844,0.027615088089820772,0.07750718915205525,0.01937834283164543,0.1650064676269333,0.036217900669854544,0.1309128150823312,0.027154074610030877,0.020009583660086767,3.6267512841399844e-05
real,B,plugin,0.05,6,0.10798424784688239,0.018362299262894174,-0.10798424784688239,0.018362299262894174,0.055347100841988774,0.014099512527346071,0.2783435486157871,0.050836184777562694,0.2387160638475323,0.04172177318822632,0.050072915934148275,4.900262185302398e-05
real,B,plugin,0.1,6,0.08194495647064232,0.014561987883275382,-0.08194495647064232,0.014561987883275382,0.04142373455907139,0.010928389632189174,0.3955510331760168,0.05844444238046723,0.35432468005669704,0.04994262999871702,0.099926181606662,8.726982038196856e-05
real,B,plugin,0.2,6,0.05763065009026683,0.010573724673736126,-0.05763065009026683,0.010573724673736126,0.029080750036840256,0.007581964544838937,0.5429549519277875,0.05801219731211221,0.5041011722730108,0.05076116294700046,0.19993794671798734,5.084715358224224e-05
real,B,plugin,0.3,6,0.042135368412190594,0.006964042944294929,-0.042135368412190594,0.006964042944294929,0.02172941524939573,0.00546152144242195,0.6441897313571211,0.0519161794735033,0.6102641650116777,0.04624669667487419,0.29985046031173307,0.0001789706179199798
real,B,reference,0.02,6,0.09361986707232199,0.026098804069684175,0.04721352061502899,0.044575755359373435,0.05974405193003268,0.010921911905732443,0.1650064676269333,0.036217900669854544,0.1309128150823312,0.027154074610030877,0.020009583660086767,3.6267512841399844e-05
real,B,reference,0.05,6,0.0709216986179269,0.0211369772286934,0.034518968030225576,0.034800519309279396,0.054650075710753275,0.011665507862842421,0.2783435486157871,0.050836184777562694,0.2387160638475323,0.04172177318822632,0.050072915934148275,4.900262185302398e-05
real,B,reference,0.1,6,0.05735948031338756,0.017957439296540024,0.034420633919405384,0.027252516824941887,0.04980159222579001,0.011736904178405455,0.3955510331760168,0.05844444238046723,0.35432468005669704,0.04994262999871702,0.099926181606662,8.726982038196856e-05
real,B,reference,0.2,6,0.05632859352420814,0.014256502683740494,0.04331041031439068,0.021503389441922253,0.04675402257202336,0.01237112583672213,0.5429549519277875,0.05801219731211221,0.5041011722730108,0.05076116294700046,0.19993794671798734,5.084715358224224e-05
real,B,reference,0.3,6,0.056576637026377365,0.016966698414771032,0.052110239010364566,0.019607213974266593,0.044329526722662195,0.012917789238814176,0.6441897313571211,0.0519161794735033,0.6102641650116777,0.04624669667487419,0.29985046031173307,0.0001789706179199798
