scope,baseline,definition,constant,slope,intercept,r2,rmse,n,perm_lo,perm_hi
pooled,constant_pooled,position,0.3405230696125209,0.6640142223870332,0.04686716308634494,0.3755730165995228,0.21409720364079093,160,,
pooled,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,160,,
pooled,constant_arm,position,0.3405230696125209,0.6640142223870332,0.04686716308634494,0.3755730165995228,0.21409720364079093,160,,
pooled,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,160,,
pooled,plugin_reproducer,position,,0.0,0.0,,0.0,160,,
pooled,perfect_corrector,position,,0.9999999999999999,-5.463773911725269e-17,1.0,7.926810259795409e-17,160,,
pooled,permutation_within_arm_perfect_corrector,position,,0.5586741683781015,,,,160,0.4762416256937347,0.6396289314153174
event_sample_then_full_history,constant_pooled,position,0.3405230696125209,1.5883390755017526,0.0959831622841214,0.5344803740328897,0.21376982909924414,32,,
event_sample_then_full_history,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
event_sample_then_full_history,constant_arm,position,0.3405230696125209,1.5883390755017526,0.0959831622841214,0.5344803740328897,0.21376982909924414,32,,
event_sample_then_full_history,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
event_sample_then_full_history,plugin_reproducer,position,,0.0,0.0,,0.0,32,,
event_sample_then_full_history,perfect_corrector,position,,1.0000000000000004,-3.2935885069098497e-18,1.0,9.494878245363397e-17,32,,
event_sample_then_full_history,permutation_within_arm_perfect_corrector,position,,0.007126428995460182,,,,32,-0.3696421243598386,0.35613576633684296
node_panel_full_history,constant_pooled,position,0.3405230696125209,1.134023297818078,-0.00029132037438264703,0.057039987013766336,0.2298947801823128,32,,
node_panel_full_history,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
node_panel_full_history,constant_arm,position,0.3405230696125209,1.134023297818078,-0.00029132037438264703,0.057039987013766336,0.2298947801823128,32,,
node_panel_full_history,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
node_panel_full_history,plugin_reproducer,position,,0.0,0.0,,0.0,32,,
node_panel_full_history,perfect_corrector,position,,0.9999999999999998,5.7759426521812914e-18,1.0,1.1119516113899608e-17,32,,
node_panel_full_history,permutation_within_arm_perfect_corrector,position,,-0.008597015651600532,,,,32,-0.33316531618377004,0.32222490999663883
recent_history_k20,constant_pooled,position,0.3405230696125209,-0.20852991159665193,0.3361303674465495,0.26113942072041374,0.06410708364164866,32,,
recent_history_k20,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
recent_history_k20,constant_arm,position,0.3405230696125209,-0.20852991159665193,0.3361303674465495,0.26113942072041374,0.06410708364164866,32,,
recent_history_k20,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
recent_history_k20,plugin_reproducer,position,,0.0,0.0,,0.0,32,,
recent_history_k20,perfect_corrector,position,,0.9999999999999996,-4.723930160732277e-17,1.0,1.7891136188118206e-16,32,,
recent_history_k20,permutation_within_arm_perfect_corrector,position,,-0.0019815970245134406,,,,32,-0.3344967314744924,0.354788210468391
time_agnostic_t,constant_pooled,position,0.3405230696125209,0.2102659502674116,0.22079079687393183,0.05644824331762299,0.1693712930840207,32,,
time_agnostic_t,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
time_agnostic_t,constant_arm,position,0.3405230696125209,0.2102659502674116,0.22079079687393183,0.05644824331762299,0.1693712930840207,32,,
time_agnostic_t,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
time_agnostic_t,plugin_reproducer,position,,0.0,0.0,,0.0,32,,
time_agnostic_t,perfect_corrector,position,,1.0,2.9102663723981335e-17,1.0,3.898426780498922e-17,32,,
time_agnostic_t,permutation_within_arm_perfect_corrector,position,,-0.004462639421652425,,,,32,-0.3348641093888249,0.3357411366794216
time_respecting,constant_pooled,position,0.3405230696125209,-0.11302222478858759,0.3347066357779942,0.33915375429470895,0.032277860261767995,32,,
time_respecting,constant_pooled,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
time_respecting,constant_arm,position,0.3405230696125209,-0.11302222478858759,0.3347066357779942,0.33915375429470895,0.032277860261767995,32,,
time_respecting,constant_arm,paired,0.3405230696125209,0.0,0.0,,0.0,32,,
time_respecting,plugin_reproducer,position,,0.0,0.0,,0.0,32,,
time_respecting,perfect_corrector,position,,1.0,8.855280952004727e-18,1.0,6.232040865652951e-18,32,,
time_respecting,permutation_within_arm_perfect_corrector,position,,0.005142895823312565,,,,32,-0.3361620452580703,0.37041995849215514
