arm,truncated,complete,coverage_truncated,coverage_complete,delta_i_truncated,delta_i_complete
event_sample_then_full_history,93,468,0.0445151033386327,0.06616587586017195,-0.15379974143068428,-0.09788206948393474
node_panel_full_history,40,433,0.10860655737704915,0.0482879719051799,-0.014482752271841308,0.0019103120422082013
time_agnostic_t,4,644,0.43614830072090627,0.0763571508193066,0.5394771903796785,0.2428923343647815
