arm,truncated,complete,coverage_truncated,coverage_complete,delta_i_truncated,delta_i_complete
event_sample_then_full_history,25,455,0.0445151033386327,0.0588235294117647,-0.1534439328556976,-0.10846958003956442
node_panel_full_history,6,378,0.027135482675455097,0.0430201931518876,0.007746504678860455,0.0019103120422082013
