scope,slope,ci_lo,ci_hi,share_positive_draws,graph_groups,cases
pooled (both arms),0.8259853357649828,0.7348530302966486,0.9706385253955297,1.0,12,64
event_sample_then_full_history,0.6533548694518158,0.39725204309009204,0.9758618004441397,1.0,12,32
time_agnostic_t,0.8932685223290058,0.7049156662566965,1.109849410139994,1.0,12,32
