budget,graph_id,arm,evidence_block,fit_status,fallback_used,objective
0.05,snap_email_eu__pwt,H,surrogate,boundary_homogeneous,False,1227.7593854875693
0.05,snap_email_eu__pwt,H,surrogate,flatness_unavailable,False,1176.7429021352955
0.05,snap_email_eu__pwt,R,surrogate,flatness_unavailable,False,1390.9533550510941
0.05,snap_email_eu__pwt,R,surrogate,flatness_unavailable,False,1390.2608784014355
0.05,snap_email_eu__pwt,R,surrogate,flatness_unavailable,False,1084.7453544901095
0.05,snap_email_eu__pwt,S1,surrogate,flatness_unavailable,False,1191.6790773302962
0.05,snap_email_eu__pwt,S1,surrogate,flatness_unavailable,False,1191.6250449851302
0.05,snap_email_eu__pwt,S1,surrogate,flatness_unavailable,False,1164.0217942957775
0.05,snap_mathoverflow,B,real,boundary_other,True,nan
0.05,snap_mathoverflow,B,real,starts_disagree,True,nan
0.05,snap_mathoverflow,B,real,boundary_other,False,2481.0900221741954
0.05,snap_mathoverflow,H,real,boundary_other,False,2531.011719889453
0.05,snap_mathoverflow,H,real,boundary_other,False,2661.2154843460244
0.05,snap_mathoverflow,H,real,boundary_other,False,3236.179471217233
0.05,snap_mathoverflow,R,real,boundary_other,False,3327.748906107176
0.05,snap_mathoverflow,R,real,boundary_other,False,3481.786511094072
0.05,snap_mathoverflow,R,real,boundary_other,False,3483.4635497429836
0.05,snap_mathoverflow,S1,real,boundary_other,False,6729.445797430586
0.05,snap_mathoverflow,S1,real,boundary_other,False,6604.587722414694
0.05,snap_mathoverflow,S1,real,boundary_other,False,6692.233924033604
0.05,snap_mathoverflow__pwt,B,surrogate,starts_disagree,True,nan
0.05,snap_mathoverflow__pwt,B,surrogate,starts_disagree,True,nan
0.05,snap_mathoverflow__pwt,B,surrogate,starts_disagree,True,nan
0.05,snap_mathoverflow__pwt,H,surrogate,boundary_other,False,7519.363838750373
0.05,snap_mathoverflow__pwt,H,surrogate,boundary_other,False,7651.085740903678
0.05,snap_mathoverflow__pwt,H,surrogate,boundary_other,False,7666.53216102968
0.05,snap_mathoverflow__pwt,R,surrogate,boundary_other,False,9984.39188628925
0.05,snap_mathoverflow__pwt,R,surrogate,boundary_other,False,10115.343645384468
0.05,snap_mathoverflow__pwt,R,surrogate,boundary_other,False,10269.136487286112
0.05,snap_mathoverflow__pwt,S1,surrogate,boundary_other,False,9603.517696549157
0.05,snap_mathoverflow__pwt,S1,surrogate,boundary_other,True,nan
0.05,snap_mathoverflow__pwt,S1,surrogate,boundary_other,True,nan
0.05,sp_highschool2013,B,real,boundary_other,False,586.3965660139767
0.05,sp_highschool2013,B,real,boundary_other,False,550.6323171379775
0.05,sp_highschool2013,B,real,boundary_other,False,588.8403086850874
0.05,sp_highschool2013,H,real,flatness_unavailable,False,370.8380238629652
