stratum,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
synthetic,H,plugin,8,24,0.09476001628557323,0.023864697244824505,0.12143025378551377,-0.09018390838576593,,,,,
synthetic,H,shared_mle,8,24,0.037488845224693826,0.007025695484788764,0.044176025813714645,0.02172518496137213,0,0.0,,,
synthetic,H,extratrees,8,24,0.02549400802514253,0.007966241557022908,0.01778568386763114,-0.004398802566068767,,,1.0,,
synthetic,H,qwen_thinking,8,72,0.15716095759915125,0.021035405271859473,0.1342679731521832,0.020607831465363862,,,,72,1.0
synthetic,H,qwen_nonthinking,8,72,0.25752723095116026,0.02518545222031642,0.18731486959072302,-0.07813042591188166,,,,72,1.0
synthetic,B,plugin,8,24,0.4254548529788339,0.09348662449166775,0.2543272105582569,-0.4254548529788339,,,,,
synthetic,B,shared_mle,8,24,0.07538916743913826,0.013567031156981975,0.06297421876990122,-0.02063762820682838,0,0.0,,,
synthetic,B,extratrees,8,24,0.038621631115238364,0.014671959571802016,0.04460547258663565,-0.014617978543258804,,,1.0,,
synthetic,B,qwen_thinking,8,72,0.37800185508911877,0.044057162009935466,0.26512611347859827,-0.1850405934537684,,,,72,1.0
synthetic,B,qwen_nonthinking,8,72,0.3146713406456586,0.06733589912619477,0.28084469232664827,0.18292978242145166,,,,72,1.0
